,Antecedent,Consequent,Confidence_score
62,"('20652',)","('1.25', 'BLUE POLKADOT LUGGAGE TAG ')",1.0
63,"('BLUE POLKADOT LUGGAGE TAG ',)","('1.25', '20652')",1.0
64,"('1.25', '20652')","('BLUE POLKADOT LUGGAGE TAG ',)",1.0
65,"('1.25', 'BLUE POLKADOT LUGGAGE TAG ')","('20652',)",1.0
66,"('20652', 'BLUE POLKADOT LUGGAGE TAG ')","('1.25',)",1.0
67,"('21721',)","('0.85', 'CANDY SHOP  STICKER SHEET')",1.0
68,"('CANDY SHOP  STICKER SHEET',)","('0.85', '21721')",1.0
69,"('0.85', '21721')","('CANDY SHOP  STICKER SHEET',)",1.0
70,"('0.85', 'CANDY SHOP  STICKER SHEET')","('21721',)",1.0
71,"('21721', 'CANDY SHOP  STICKER SHEET')","('0.85',)",1.0
72,"('84924A',)","('WAKE UP COCKEREL CALENDAR SIGN ',)",1.0
73,"('WAKE UP COCKEREL CALENDAR SIGN ',)","('84924A',)",1.0
74,"('35810B',)","('ENAMEL BLUE RIM COFFEE CONTAINER',)",1.0
75,"('ENAMEL BLUE RIM COFFEE CONTAINER',)","('35810B',)",1.0
76,"('77101A',)","('UNION FLAG WINDSOCK',)",1.0
77,"('UNION FLAG WINDSOCK',)","('77101A',)",1.0
78,"('16411.0',)","('12/5/2010 13:26', '537176')",1.0
79,"('537176',)","('12/5/2010 13:26', '16411.0')",1.0
80,"('12/5/2010 13:26',)","('16411.0', '537176')",1.0
81,"('12/5/2010 13:26', '16411.0')","('537176',)",1.0
82,"('12/5/2010 13:26', '537176')","('16411.0',)",1.0
83,"('16411.0', '537176')","('12/5/2010 13:26',)",1.0
84,"('85208',)","('SET/12 FUNKY FELT FLOWER PEG IN BAG',)",1.0
85,"('SET/12 FUNKY FELT FLOWER PEG IN BAG',)","('85208',)",1.0
86,"('537227',)","('12/6/2010 8:42', '17677.0')",1.0
87,"('12/6/2010 8:42',)","('17677.0', '537227')",1.0
88,"('12/6/2010 8:42', '17677.0')","('537227',)",1.0
89,"('12/6/2010 8:42', '537227')","('17677.0',)",1.0
90,"('17677.0', '537227')","('12/6/2010 8:42',)",1.0
91,"('537255',)","('12/6/2010 11:03', '14443.0')",1.0
92,"('12/6/2010 11:03',)","('14443.0', '537255')",1.0
93,"('12/6/2010 11:03', '14443.0')","('537255',)",1.0
94,"('12/6/2010 11:03', '537255')","('14443.0',)",1.0
95,"('14443.0', '537255')","('12/6/2010 11:03',)",1.0
96,"('537378',)","('12/6/2010 13:06', '14911.0')",1.0
97,"('12/6/2010 13:06',)","('14911.0', '537378')",1.0
98,"('12/6/2010 13:06', '14911.0')","('537378',)",1.0
99,"('12/6/2010 13:06', '537378')","('14911.0',)",1.0
100,"('14911.0', '537378')","('12/6/2010 13:06',)",1.0
101,"('72819',)","('CUPID DESIGN SCENTED CANDLES',)",1.0
102,"('CUPID DESIGN SCENTED CANDLES',)","('72819',)",1.0
103,"('537468',)","('12/7/2010 10:36', '12567.0')",1.0
104,"('12/7/2010 10:36', '12567.0')","('537468',)",1.0
105,"('12/7/2010 10:36', '537468')","('12567.0',)",1.0
106,"('12567.0', '537468')","('12/7/2010 10:36',)",1.0
107,"('85170B',)","('SET/6 BLACK BIRD T-LIGHT CANDLES',)",1.0
108,"('SET/6 BLACK BIRD T-LIGHT CANDLES',)","('85170B',)",1.0
109,"('537683',)","('12/8/2010 10:14', '12921.0')",1.0
110,"('12/8/2010 10:14',)","('12921.0', '537683')",1.0
111,"('12/8/2010 10:14', '12921.0')","('537683',)",1.0
112,"('12/8/2010 10:14', '537683')","('12921.0',)",1.0
113,"('12921.0', '537683')","('12/8/2010 10:14',)",1.0
114,"('537691',)","('12/8/2010 10:39', '13842.0')",1.0
115,"('12/8/2010 10:39',)","('13842.0', '537691')",1.0
116,"('12/8/2010 10:39', '13842.0')","('537691',)",1.0
117,"('12/8/2010 10:39', '537691')","('13842.0',)",1.0
118,"('13842.0', '537691')","('12/8/2010 10:39',)",1.0
119,"('537898',)","('12/9/2010 10:42', '17377.0')",1.0
120,"('12/9/2010 10:42',)","('17377.0', '537898')",1.0
121,"('12/9/2010 10:42', '17377.0')","('537898',)",1.0
122,"('12/9/2010 10:42', '537898')","('17377.0',)",1.0
123,"('17377.0', '537898')","('12/9/2010 10:42',)",1.0
124,"('538003',)","('12/9/2010 12:05', '12429.0')",1.0
125,"('12/9/2010 12:05',)","('12429.0', '538003')",1.0
126,"('12/9/2010 12:05', '12429.0')","('538003',)",1.0
127,"('12/9/2010 12:05', '538003')","('12429.0',)",1.0
128,"('12429.0', '538003')","('12/9/2010 12:05',)",1.0
129,"('16015',)","('MEDIUM CHINESE STYLE SCISSOR',)",1.0
130,"('MEDIUM CHINESE STYLE SCISSOR',)","('16015',)",1.0
131,"('21562',)","('HAWAIIAN GRASS SKIRT ',)",1.0
132,"('HAWAIIAN GRASS SKIRT ',)","('21562',)",1.0
133,"('20654',)","('FIRST CLASS LUGGAGE TAG ',)",1.0
134,"('FIRST CLASS LUGGAGE TAG ',)","('20654',)",1.0
135,"('16054',)","('POPART RECT PENCIL SHARPENER ASST',)",1.0
136,"('POPART RECT PENCIL SHARPENER ASST',)","('16054',)",1.0
137,"('17012D',)","('ORIGAMI ROSE INCENSE/CANDLE SET ',)",1.0
138,"('ORIGAMI ROSE INCENSE/CANDLE SET ',)","('17012D',)",1.0
139,"('538525',)","('12/13/2010 9:39', '12540.0')",1.0
140,"('12/13/2010 9:39',)","('12540.0', '538525')",1.0
141,"('12/13/2010 9:39', '12540.0')","('538525',)",1.0
142,"('12/13/2010 9:39', '538525')","('12540.0',)",1.0
143,"('12540.0', '538525')","('12/13/2010 9:39',)",1.0
144,"('22512',)","('DOORSTOP RACING CAR DESIGN',)",1.0
145,"('DOORSTOP RACING CAR DESIGN',)","('22512',)",1.0
146,"('538633',)","('12/13/2010 13:28', '16726.0')",1.0
147,"('12/13/2010 13:28', '16726.0')","('538633',)",1.0
148,"('12/13/2010 13:28', '538633')","('16726.0',)",1.0
149,"('16726.0', '538633')","('12/13/2010 13:28',)",1.0
150,"('538639',)","('12/13/2010 14:24', '17179.0')",1.0
151,"('12/13/2010 14:24',)","('17179.0', '538639')",1.0
152,"('12/13/2010 14:24', '17179.0')","('538639',)",1.0
153,"('12/13/2010 14:24', '538639')","('17179.0',)",1.0
154,"('17179.0', '538639')","('12/13/2010 14:24',)",1.0
155,"('538683',)","('12/13/2010 17:40', '14525.0')",1.0
156,"('12/13/2010 17:40',)","('14525.0', '538683')",1.0
157,"('12/13/2010 17:40', '14525.0')","('538683',)",1.0
158,"('12/13/2010 17:40', '538683')","('14525.0',)",1.0
159,"('14525.0', '538683')","('12/13/2010 17:40',)",1.0
160,"('12/14/2010 11:12',)","('17975.0',)",0.8695652173913043
161,"('538722',)","('12/14/2010 11:12', '17975.0')",1.0
162,"('12/14/2010 11:12', '17975.0')","('538722',)",1.0
163,"('12/14/2010 11:12', '538722')","('17975.0',)",1.0
164,"('17975.0', '538722')","('12/14/2010 11:12',)",1.0
165,"('17084R',)","('ASSORTED INCENSE PACK',)",1.0
166,"('ASSORTED INCENSE PACK',)","('17084R',)",1.0
167,"('538968',)","('12/15/2010 11:34', '15384.0')",1.0
168,"('12/15/2010 11:34',)","('15384.0', '538968')",1.0
169,"('12/15/2010 11:34', '15384.0')","('538968',)",1.0
170,"('12/15/2010 11:34', '538968')","('15384.0',)",1.0
171,"('15384.0', '538968')","('12/15/2010 11:34',)",1.0
172,"('538999',)","('12/15/2010 12:09', '16003.0')",1.0
173,"('12/15/2010 12:09',)","('16003.0', '538999')",1.0
174,"('12/15/2010 12:09', '16003.0')","('538999',)",1.0
175,"('12/15/2010 12:09', '538999')","('16003.0',)",1.0
176,"('16003.0', '538999')","('12/15/2010 12:09',)",1.0
177,"('85211',)","('S/4 GROOVY CAT MAGNETS',)",1.0
178,"('S/4 GROOVY CAT MAGNETS',)","('85211',)",1.0
179,"('539038',)","('12/15/2010 14:45', '15641.0')",1.0
180,"('12/15/2010 14:45',)","('15641.0', '539038')",1.0
181,"('12/15/2010 14:45', '15641.0')","('539038',)",1.0
182,"('12/15/2010 14:45', '539038')","('15641.0',)",1.0
183,"('15641.0', '539038')","('12/15/2010 14:45',)",1.0
184,"('539255',)","('12/16/2010 14:26', '16316.0')",1.0
185,"('12/16/2010 14:26',)","('16316.0', '539255')",1.0
186,"('12/16/2010 14:26', '16316.0')","('539255',)",1.0
187,"('12/16/2010 14:26', '539255')","('16316.0',)",1.0
188,"('16316.0', '539255')","('12/16/2010 14:26',)",1.0
189,"('539305',)","('12/16/2010 17:37', '14334.0')",1.0
190,"('12/16/2010 17:37',)","('14334.0', '539305')",1.0
191,"('12/16/2010 17:37', '14334.0')","('539305',)",1.0
192,"('12/16/2010 17:37', '539305')","('14334.0',)",1.0
193,"('14334.0', '539305')","('12/16/2010 17:37',)",1.0
194,"('539333',)","('12/17/2010 9:52', '13627.0')",1.0
195,"('12/17/2010 9:52',)","('13627.0', '539333')",1.0
196,"('12/17/2010 9:52', '13627.0')","('539333',)",1.0
197,"('12/17/2010 9:52', '539333')","('13627.0',)",1.0
198,"('13627.0', '539333')","('12/17/2010 9:52',)",1.0
199,"('539587',)","('12/20/2010 13:10', '14298.0')",1.0
200,"('12/20/2010 13:10',)","('14298.0', '539587')",1.0
201,"('12/20/2010 13:10', '14298.0')","('539587',)",1.0
202,"('12/20/2010 13:10', '539587')","('14298.0',)",1.0
203,"('14298.0', '539587')","('12/20/2010 13:10',)",1.0
204,"('539725',)","('12/21/2010 13:58', '17211.0')",1.0
205,"('12/21/2010 13:58',)","('17211.0', '539725')",1.0
206,"('12/21/2010 13:58', '17211.0')","('539725',)",1.0
207,"('12/21/2010 13:58', '539725')","('17211.0',)",1.0
208,"('17211.0', '539725')","('12/21/2010 13:58',)",1.0
209,"('539982',)","('12/23/2010 14:40', '15311.0')",1.0
210,"('12/23/2010 14:40',)","('15311.0', '539982')",1.0
211,"('12/23/2010 14:40', '15311.0')","('539982',)",1.0
212,"('12/23/2010 14:40', '539982')","('15311.0',)",1.0
213,"('15311.0', '539982')","('12/23/2010 14:40',)",1.0
214,"('540395',)","('1/6/2011 18:24', '14702.0')",1.0
215,"('1/6/2011 18:24',)","('14702.0', '540395')",1.0
216,"('1/6/2011 18:24', '14702.0')","('540395',)",1.0
217,"('1/6/2011 18:24', '540395')","('14702.0',)",1.0
218,"('14702.0', '540395')","('1/6/2011 18:24',)",1.0
219,"('540413',)","('1/7/2011 10:29', '15194.0')",1.0
220,"('1/7/2011 10:29',)","('15194.0', '540413')",1.0
221,"('1/7/2011 10:29', '15194.0')","('540413',)",1.0
222,"('1/7/2011 10:29', '540413')","('15194.0',)",1.0
223,"('15194.0', '540413')","('1/7/2011 10:29',)",1.0
224,"('85093',)","('CANDY SPOT EGG WARMER HARE',)",1.0
225,"('CANDY SPOT EGG WARMER HARE',)","('85093',)",1.0
226,"('85094',)","('CANDY SPOT EGG WARMER RABBIT',)",1.0
227,"('CANDY SPOT EGG WARMER RABBIT',)","('85094',)",1.0
228,"('540496',)","('1/7/2011 17:18', '15485.0')",1.0
229,"('1/7/2011 17:18',)","('15485.0', '540496')",1.0
230,"('1/7/2011 17:18', '15485.0')","('540496',)",1.0
231,"('1/7/2011 17:18', '540496')","('15485.0',)",1.0
232,"('15485.0', '540496')","('1/7/2011 17:18',)",1.0
233,"('540502',)","('1/9/2011 10:50', '13183.0')",1.0
234,"('1/9/2011 10:50',)","('13183.0', '540502')",1.0
235,"('1/9/2011 10:50', '13183.0')","('540502',)",1.0
236,"('1/9/2011 10:50', '540502')","('13183.0',)",1.0
237,"('13183.0', '540502')","('1/9/2011 10:50',)",1.0
238,"('540532',)","('1/9/2011 14:11', '14702.0')",1.0
239,"('1/9/2011 14:11',)","('14702.0', '540532')",1.0
240,"('1/9/2011 14:11', '14702.0')","('540532',)",1.0
241,"('1/9/2011 14:11', '540532')","('14702.0',)",1.0
242,"('14702.0', '540532')","('1/9/2011 14:11',)",1.0
243,"('540635',)","('1/10/2011 12:03', '14229.0')",1.0
244,"('1/10/2011 12:03',)","('14229.0', '540635')",1.0
245,"('1/10/2011 12:03', '14229.0')","('540635',)",1.0
246,"('1/10/2011 12:03', '540635')","('14229.0',)",1.0
247,"('14229.0', '540635')","('1/10/2011 12:03',)",1.0
248,"('541112',)","('1/13/2011 15:17', '18085.0')",1.0
249,"('1/13/2011 15:17',)","('18085.0', '541112')",1.0
250,"('1/13/2011 15:17', '18085.0')","('541112',)",1.0
251,"('1/13/2011 15:17', '541112')","('18085.0',)",1.0
252,"('18085.0', '541112')","('1/13/2011 15:17',)",1.0
253,"('541126',)","('1/14/2011 10:10', '15626.0')",1.0
254,"('1/14/2011 10:10',)","('15626.0', '541126')",1.0
255,"('1/14/2011 10:10', '15626.0')","('541126',)",1.0
256,"('1/14/2011 10:10', '541126')","('15626.0',)",1.0
257,"('15626.0', '541126')","('1/14/2011 10:10',)",1.0
258,"('12559.0',)","('1/24/2011 10:12', '541877')",0.9090909090909091
259,"('541877',)","('1/24/2011 10:12', '12559.0')",1.0
260,"('1/24/2011 10:12',)","('12559.0', '541877')",1.0
261,"('1/24/2011 10:12', '12559.0')","('541877',)",1.0
262,"('1/24/2011 10:12', '541877')","('12559.0',)",1.0
263,"('12559.0', '541877')","('1/24/2011 10:12',)",1.0
264,"('541883',)","('1/24/2011 10:56', '13408.0')",1.0
265,"('1/24/2011 10:56',)","('13408.0', '541883')",1.0
266,"('1/24/2011 10:56', '13408.0')","('541883',)",1.0
267,"('1/24/2011 10:56', '541883')","('13408.0',)",1.0
268,"('13408.0', '541883')","('1/24/2011 10:56',)",1.0
269,"('541986',)","('1/24/2011 15:59', '17001.0')",1.0
270,"('1/24/2011 15:59',)","('17001.0', '541986')",1.0
271,"('1/24/2011 15:59', '17001.0')","('541986',)",1.0
272,"('1/24/2011 15:59', '541986')","('17001.0',)",1.0
273,"('17001.0', '541986')","('1/24/2011 15:59',)",1.0
274,"('542258',)","('1/26/2011 17:08', '17372.0')",1.0
275,"('1/26/2011 17:08',)","('17372.0', '542258')",1.0
276,"('1/26/2011 17:08', '17372.0')","('542258',)",1.0
277,"('1/26/2011 17:08', '542258')","('17372.0',)",1.0
278,"('17372.0', '542258')","('1/26/2011 17:08',)",1.0
279,"('542431',)","('1/28/2011 10:28', '12853.0')",1.0
280,"('1/28/2011 10:28',)","('12853.0', '542431')",1.0
281,"('1/28/2011 10:28', '12853.0')","('542431',)",1.0
282,"('1/28/2011 10:28', '542431')","('12853.0',)",1.0
283,"('12853.0', '542431')","('1/28/2011 10:28',)",1.0
284,"('542527',)","('1/28/2011 12:48', '17188.0')",1.0
285,"('1/28/2011 12:48',)","('17188.0', '542527')",1.0
286,"('1/28/2011 12:48', '17188.0')","('542527',)",1.0
287,"('1/28/2011 12:48', '542527')","('17188.0',)",1.0
288,"('17188.0', '542527')","('1/28/2011 12:48',)",1.0
289,"('542542',)","('1/28/2011 14:37', '12431.0')",1.0
290,"('1/28/2011 14:37',)","('12431.0', '542542')",1.0
291,"('1/28/2011 14:37', '12431.0')","('542542',)",1.0
292,"('1/28/2011 14:37', '542542')","('12431.0',)",1.0
293,"('12431.0', '542542')","('1/28/2011 14:37',)",1.0
294,"('542584',)","('1/28/2011 15:21', '18016.0')",1.0
295,"('1/28/2011 15:21',)","('18016.0', '542584')",1.0
296,"('1/28/2011 15:21', '18016.0')","('542584',)",1.0
297,"('1/28/2011 15:21', '542584')","('18016.0',)",1.0
298,"('18016.0', '542584')","('1/28/2011 15:21',)",1.0
299,"('542716',)","('1/31/2011 14:02', '16407.0')",1.0
300,"('1/31/2011 14:02',)","('16407.0', '542716')",1.0
301,"('1/31/2011 14:02', '16407.0')","('542716',)",1.0
302,"('1/31/2011 14:02', '542716')","('16407.0',)",1.0
303,"('16407.0', '542716')","('1/31/2011 14:02',)",1.0
304,"('542864',)","('13802.0', '2/1/2011 12:03')",1.0
305,"('2/1/2011 12:03',)","('13802.0', '542864')",1.0
306,"('13802.0', '2/1/2011 12:03')","('542864',)",1.0
307,"('13802.0', '542864')","('2/1/2011 12:03',)",1.0
308,"('2/1/2011 12:03', '542864')","('13802.0',)",1.0
309,"('542870',)","('15203.0', '2/1/2011 12:29')",1.0
310,"('2/1/2011 12:29',)","('15203.0', '542870')",1.0
311,"('15203.0', '2/1/2011 12:29')","('542870',)",1.0
312,"('15203.0', '542870')","('2/1/2011 12:29',)",1.0
313,"('2/1/2011 12:29', '542870')","('15203.0',)",1.0
314,"('542908',)","('13110.0', '2/1/2011 15:24')",1.0
315,"('2/1/2011 15:24',)","('13110.0', '542908')",1.0
316,"('13110.0', '2/1/2011 15:24')","('542908',)",1.0
317,"('13110.0', '542908')","('2/1/2011 15:24',)",1.0
318,"('2/1/2011 15:24', '542908')","('13110.0',)",1.0
319,"('543001',)","('14127.0', '2/2/2011 12:26')",1.0
320,"('2/2/2011 12:26',)","('14127.0', '543001')",1.0
321,"('14127.0', '2/2/2011 12:26')","('543001',)",1.0
322,"('14127.0', '543001')","('2/2/2011 12:26',)",1.0
323,"('2/2/2011 12:26', '543001')","('14127.0',)",1.0
324,"('543120',)","('13668.0', '2/3/2011 13:53')",1.0
325,"('2/3/2011 13:53',)","('13668.0', '543120')",1.0
326,"('13668.0', '2/3/2011 13:53')","('543120',)",1.0
327,"('13668.0', '543120')","('2/3/2011 13:53',)",1.0
328,"('2/3/2011 13:53', '543120')","('13668.0',)",1.0
329,"('543466',)","('16713.0', '2/8/2011 14:34')",1.0
330,"('2/8/2011 14:34',)","('16713.0', '543466')",1.0
331,"('16713.0', '2/8/2011 14:34')","('543466',)",1.0
332,"('16713.0', '543466')","('2/8/2011 14:34',)",1.0
333,"('2/8/2011 14:34', '543466')","('16713.0',)",1.0
334,"('543519',)","('17083.0', '2/9/2011 11:38')",1.0
335,"('2/9/2011 11:38',)","('17083.0', '543519')",1.0
336,"('17083.0', '2/9/2011 11:38')","('543519',)",1.0
337,"('17083.0', '543519')","('2/9/2011 11:38',)",1.0
338,"('2/9/2011 11:38', '543519')","('17083.0',)",1.0
339,"('13706.0',)","('2/10/2011 9:21', '543548')",1.0
340,"('543548',)","('13706.0', '2/10/2011 9:21')",1.0
341,"('2/10/2011 9:21',)","('13706.0', '543548')",1.0
342,"('13706.0', '2/10/2011 9:21')","('543548',)",1.0
343,"('13706.0', '543548')","('2/10/2011 9:21',)",1.0
344,"('2/10/2011 9:21', '543548')","('13706.0',)",1.0
345,"('543774',)","('15856.0', '2/11/2011 15:56')",1.0
346,"('2/11/2011 15:56',)","('15856.0', '543774')",1.0
347,"('15856.0', '2/11/2011 15:56')","('543774',)",1.0
348,"('15856.0', '543774')","('2/11/2011 15:56',)",1.0
349,"('2/11/2011 15:56', '543774')","('15856.0',)",1.0
350,"('543913',)","('17591.0', '2/14/2011 13:11')",1.0
351,"('2/14/2011 13:11',)","('17591.0', '543913')",1.0
352,"('17591.0', '2/14/2011 13:11')","('543913',)",1.0
353,"('17591.0', '543913')","('2/14/2011 13:11',)",1.0
354,"('2/14/2011 13:11', '543913')","('17591.0',)",1.0
355,"('544067',)","('16431.0', '2/15/2011 14:02')",1.0
356,"('2/15/2011 14:02',)","('16431.0', '544067')",1.0
357,"('16431.0', '2/15/2011 14:02')","('544067',)",1.0
358,"('16431.0', '544067')","('2/15/2011 14:02',)",1.0
359,"('2/15/2011 14:02', '544067')","('16431.0',)",1.0
360,"('544157',)","('12372.0', '2/16/2011 12:46')",1.0
361,"('2/16/2011 12:46',)","('12372.0', '544157')",1.0
362,"('12372.0', '2/16/2011 12:46')","('544157',)",1.0
363,"('12372.0', '544157')","('2/16/2011 12:46',)",1.0
364,"('2/16/2011 12:46', '544157')","('12372.0',)",1.0
365,"('544454',)","('13301.0', '2/20/2011 13:13')",1.0
366,"('2/20/2011 13:13',)","('13301.0', '544454')",1.0
367,"('13301.0', '2/20/2011 13:13')","('544454',)",1.0
368,"('13301.0', '544454')","('2/20/2011 13:13',)",1.0
369,"('2/20/2011 13:13', '544454')","('13301.0',)",1.0
370,"('544485',)","('17757.0', '2/21/2011 11:35')",1.0
371,"('2/21/2011 11:35',)","('17757.0', '544485')",1.0
372,"('17757.0', '2/21/2011 11:35')","('544485',)",1.0
373,"('17757.0', '544485')","('2/21/2011 11:35',)",1.0
374,"('2/21/2011 11:35', '544485')","('17757.0',)",1.0
375,"('544687',)","('13184.0', '2/22/2011 17:25')",1.0
376,"('2/22/2011 17:25',)","('13184.0', '544687')",1.0
377,"('13184.0', '2/22/2011 17:25')","('544687',)",1.0
378,"('13184.0', '544687')","('2/22/2011 17:25',)",1.0
379,"('2/22/2011 17:25', '544687')","('13184.0',)",1.0
380,"('544789',)","('13993.0', '2/23/2011 12:25')",1.0
381,"('2/23/2011 12:25',)","('13993.0', '544789')",1.0
382,"('13993.0', '2/23/2011 12:25')","('544789',)",1.0
383,"('13993.0', '544789')","('2/23/2011 12:25',)",1.0
384,"('2/23/2011 12:25', '544789')","('13993.0',)",1.0
385,"('544885',)","('14243.0', '2/24/2011 11:38')",1.0
386,"('2/24/2011 11:38',)","('14243.0', '544885')",1.0
387,"('14243.0', '2/24/2011 11:38')","('544885',)",1.0
388,"('14243.0', '544885')","('2/24/2011 11:38',)",1.0
389,"('2/24/2011 11:38', '544885')","('14243.0',)",1.0
390,"('13345.0',)","('2/25/2011 9:01', '544934')",0.9090909090909091
391,"('544934',)","('13345.0', '2/25/2011 9:01')",1.0
392,"('2/25/2011 9:01',)","('13345.0', '544934')",1.0
393,"('13345.0', '2/25/2011 9:01')","('544934',)",1.0
394,"('13345.0', '544934')","('2/25/2011 9:01',)",1.0
395,"('2/25/2011 9:01', '544934')","('13345.0',)",1.0
396,"('544937',)","('12839.0', '2/25/2011 10:09')",1.0
397,"('2/25/2011 10:09',)","('12839.0', '544937')",1.0
398,"('12839.0', '2/25/2011 10:09')","('544937',)",1.0
399,"('12839.0', '544937')","('2/25/2011 10:09',)",1.0
400,"('2/25/2011 10:09', '544937')","('12839.0',)",1.0
401,"('545043',)","('16407.0', '2/27/2011 11:05')",1.0
402,"('2/27/2011 11:05',)","('16407.0', '545043')",1.0
403,"('16407.0', '2/27/2011 11:05')","('545043',)",1.0
404,"('16407.0', '545043')","('2/27/2011 11:05',)",1.0
405,"('2/27/2011 11:05', '545043')","('16407.0',)",1.0
406,"('545075',)","('14211.0', '2/28/2011 9:33')",1.0
407,"('2/28/2011 9:33',)","('14211.0', '545075')",1.0
408,"('14211.0', '2/28/2011 9:33')","('545075',)",1.0
409,"('14211.0', '545075')","('2/28/2011 9:33',)",1.0
410,"('2/28/2011 9:33', '545075')","('14211.0',)",1.0
411,"('545153',)","('16667.0', '2/28/2011 12:57')",1.0
412,"('2/28/2011 12:57',)","('16667.0', '545153')",1.0
413,"('16667.0', '2/28/2011 12:57')","('545153',)",1.0
414,"('16667.0', '545153')","('2/28/2011 12:57',)",1.0
415,"('2/28/2011 12:57', '545153')","('16667.0',)",1.0
416,"('545411',)","('16128.0', '3/2/2011 12:21')",1.0
