,Antecedent,Consequent,Confidence_score
44,"('12/9/2010 13:34', '15856.0')","('538053',)",1.0
45,"('12/9/2010 13:34', '538053')","('15856.0',)",1.0
46,"('15856.0', '538053')","('12/9/2010 13:34',)",1.0
47,"('TEA TIME TEA SET IN GIFT BOX',)","('6.95',)",1.0
48,"('538313',)","('12/10/2010 13:50', '15514.0')",1.0
49,"('12/10/2010 13:50',)","('15514.0', '538313')",1.0
50,"('12/10/2010 13:50', '15514.0')","('538313',)",1.0
51,"('12/10/2010 13:50', '538313')","('15514.0',)",1.0
52,"('15514.0', '538313')","('12/10/2010 13:50',)",1.0
53,"('C538341',)","('12/10/2010 14:03', '15514.0')",1.0
54,"('12/10/2010 14:03',)","('15514.0', 'C538341')",1.0
55,"('12/10/2010 14:03', '15514.0')","('C538341',)",1.0
56,"('12/10/2010 14:03', 'C538341')","('15514.0',)",1.0
57,"('15514.0', 'C538341')","('12/10/2010 14:03',)",1.0
58,"('538783',)","('12/14/2010 11:38', '14961.0')",1.0
59,"('12/14/2010 11:38',)","('14961.0', '538783')",1.0
60,"('12/14/2010 11:38', '14961.0')","('538783',)",1.0
61,"('12/14/2010 11:38', '538783')","('14961.0',)",1.0
62,"('14961.0', '538783')","('12/14/2010 11:38',)",1.0
63,"('538855',)","('12/14/2010 13:50', '16503.0')",1.0
64,"('12/14/2010 13:50',)","('16503.0', '538855')",1.0
65,"('12/14/2010 13:50', '16503.0')","('538855',)",1.0
66,"('12/14/2010 13:50', '538855')","('16503.0',)",1.0
67,"('16503.0', '538855')","('12/14/2010 13:50',)",1.0
68,"('12/15/2010 12:05',)","('13458.0',)",0.7692307692307693
69,"('538995',)","('12/15/2010 12:05', '13458.0')",1.0
70,"('12/15/2010 12:05', '13458.0')","('538995',)",1.0
71,"('12/15/2010 12:05', '538995')","('13458.0',)",1.0
72,"('13458.0', '538995')","('12/15/2010 12:05',)",1.0
73,"('539181',)","('12/16/2010 11:51', '12748.0')",1.0
74,"('12/16/2010 11:51',)","('12748.0', '539181')",1.0
75,"('12/16/2010 11:51', '12748.0')","('539181',)",1.0
76,"('12/16/2010 11:51', '539181')","('12748.0',)",1.0
77,"('12748.0', '539181')","('12/16/2010 11:51',)",1.0
78,"('539211',)","('12/16/2010 12:15', '16743.0')",1.0
79,"('12/16/2010 12:15',)","('16743.0', '539211')",1.0
80,"('12/16/2010 12:15', '16743.0')","('539211',)",1.0
81,"('12/16/2010 12:15', '539211')","('16743.0',)",1.0
82,"('16743.0', '539211')","('12/16/2010 12:15',)",1.0
83,"('18176.0',)","('12/16/2010 15:45',)",0.9090909090909091
84,"('539281',)","('12/16/2010 15:45', '18176.0')",1.0
85,"('12/16/2010 15:45',)","('18176.0',)",0.8333333333333334
86,"('12/16/2010 15:45', '18176.0')","('539281',)",1.0
87,"('12/16/2010 15:45', '539281')","('18176.0',)",1.0
88,"('18176.0', '539281')","('12/16/2010 15:45',)",1.0
89,"('539446',)","('12/17/2010 15:58', '12705.0')",1.0
90,"('12/17/2010 15:58',)","('12705.0', '539446')",1.0
91,"('12/17/2010 15:58', '12705.0')","('539446',)",1.0
92,"('12/17/2010 15:58', '539446')","('12705.0',)",1.0
93,"('12705.0', '539446')","('12/17/2010 15:58',)",1.0
94,"('539501',)","('12/20/2010 11:08', '17085.0')",1.0
95,"('12/20/2010 11:08',)","('17085.0', '539501')",1.0
96,"('12/20/2010 11:08', '17085.0')","('539501',)",1.0
97,"('12/20/2010 11:08', '539501')","('17085.0',)",1.0
98,"('17085.0', '539501')","('12/20/2010 11:08',)",1.0
99,"('1/4/2011 13:50',)","('17975.0',)",0.7894736842105263
100,"('540031',)","('1/4/2011 13:50', '17975.0')",1.0
101,"('1/4/2011 13:50', '17975.0')","('540031',)",1.0
102,"('1/4/2011 13:50', '540031')","('17975.0',)",1.0
103,"('17975.0', '540031')","('1/4/2011 13:50',)",1.0
104,"('540511',)","('1/9/2011 11:34', '14472.0')",1.0
105,"('1/9/2011 11:34',)","('14472.0', '540511')",1.0
106,"('1/9/2011 11:34', '14472.0')","('540511',)",1.0
107,"('1/9/2011 11:34', '540511')","('14472.0',)",1.0
108,"('14472.0', '540511')","('1/9/2011 11:34',)",1.0
109,"('541214',)","('1/14/2011 13:41', '15570.0')",1.0
110,"('1/14/2011 13:41',)","('15570.0', '541214')",1.0
111,"('1/14/2011 13:41', '15570.0')","('541214',)",1.0
112,"('1/14/2011 13:41', '541214')","('15570.0',)",1.0
113,"('15570.0', '541214')","('1/14/2011 13:41',)",1.0
114,"('541260',)","('1/16/2011 15:44', '16059.0')",1.0
115,"('1/16/2011 15:44',)","('16059.0', '541260')",1.0
116,"('1/16/2011 15:44', '16059.0')","('541260',)",1.0
117,"('1/16/2011 15:44', '541260')","('16059.0',)",1.0
118,"('16059.0', '541260')","('1/16/2011 15:44',)",1.0
119,"('541566',)","('1/19/2011 11:50', '17722.0')",1.0
120,"('1/19/2011 11:50',)","('17722.0', '541566')",1.0
121,"('1/19/2011 11:50', '17722.0')","('541566',)",1.0
122,"('1/19/2011 11:50', '541566')","('17722.0',)",1.0
123,"('17722.0', '541566')","('1/19/2011 11:50',)",1.0
124,"('542147',)","('1/26/2011 10:02', '12782.0')",1.0
125,"('1/26/2011 10:02',)","('12782.0', '542147')",1.0
126,"('1/26/2011 10:02', '12782.0')","('542147',)",1.0
127,"('1/26/2011 10:02', '542147')","('12782.0',)",1.0
128,"('12782.0', '542147')","('1/26/2011 10:02',)",1.0
129,"('542269',)","('1/27/2011 9:33', '14442.0')",1.0
130,"('1/27/2011 9:33',)","('14442.0', '542269')",1.0
131,"('1/27/2011 9:33', '14442.0')","('542269',)",1.0
132,"('1/27/2011 9:33', '542269')","('14442.0',)",1.0
133,"('14442.0', '542269')","('1/27/2011 9:33',)",1.0
134,"('542578',)","('1/28/2011 14:57', '13709.0')",1.0
135,"('1/28/2011 14:57',)","('13709.0', '542578')",1.0
136,"('1/28/2011 14:57', '13709.0')","('542578',)",1.0
137,"('1/28/2011 14:57', '542578')","('13709.0',)",1.0
138,"('13709.0', '542578')","('1/28/2011 14:57',)",1.0
139,"('542601',)","('1/30/2011 11:52', '16897.0')",1.0
140,"('1/30/2011 11:52',)","('16897.0', '542601')",1.0
141,"('1/30/2011 11:52', '16897.0')","('542601',)",1.0
142,"('1/30/2011 11:52', '542601')","('16897.0',)",1.0
143,"('16897.0', '542601')","('1/30/2011 11:52',)",1.0
144,"('542881',)","('14587.0', '2/1/2011 12:54')",1.0
145,"('2/1/2011 12:54',)","('14587.0', '542881')",1.0
146,"('14587.0', '2/1/2011 12:54')","('542881',)",1.0
147,"('14587.0', '542881')","('2/1/2011 12:54',)",1.0
148,"('2/1/2011 12:54', '542881')","('14587.0',)",1.0
149,"('542886',)","('16515.0', '2/1/2011 13:09')",1.0
150,"('2/1/2011 13:09',)","('16515.0', '542886')",1.0
151,"('16515.0', '2/1/2011 13:09')","('542886',)",1.0
152,"('16515.0', '542886')","('2/1/2011 13:09',)",1.0
153,"('2/1/2011 13:09', '542886')","('16515.0',)",1.0
154,"('543006',)","('17975.0', '2/2/2011 12:53')",1.0
155,"('2/2/2011 12:53',)","('17975.0', '543006')",1.0
156,"('17975.0', '2/2/2011 12:53')","('543006',)",1.0
157,"('17975.0', '543006')","('2/2/2011 12:53',)",1.0
158,"('2/2/2011 12:53', '543006')","('17975.0',)",1.0
159,"('543251',)","('14194.0', '2/4/2011 14:51')",1.0
160,"('2/4/2011 14:51',)","('14194.0', '543251')",1.0
161,"('14194.0', '2/4/2011 14:51')","('543251',)",1.0
162,"('14194.0', '543251')","('2/4/2011 14:51',)",1.0
163,"('2/4/2011 14:51', '543251')","('14194.0',)",1.0
164,"('543619',)","('16842.0', '2/10/2011 14:51')",1.0
165,"('2/10/2011 14:51',)","('16842.0', '543619')",1.0
166,"('16842.0', '2/10/2011 14:51')","('543619',)",1.0
167,"('16842.0', '543619')","('2/10/2011 14:51',)",1.0
168,"('2/10/2011 14:51', '543619')","('16842.0',)",1.0
169,"('543736',)","('15044.0', '2/11/2011 12:36')",1.0
170,"('2/11/2011 12:36',)","('15044.0', '543736')",1.0
171,"('15044.0', '2/11/2011 12:36')","('543736',)",1.0
172,"('15044.0', '543736')","('2/11/2011 12:36',)",1.0
173,"('2/11/2011 12:36', '543736')","('15044.0',)",1.0
174,"('543900',)","('12621.0', '2/14/2011 12:11')",1.0
175,"('2/14/2011 12:11',)","('12621.0', '543900')",1.0
176,"('12621.0', '2/14/2011 12:11')","('543900',)",1.0
177,"('12621.0', '543900')","('2/14/2011 12:11',)",1.0
178,"('2/14/2011 12:11', '543900')","('12621.0',)",1.0
179,"('17829.0',)","('2/14/2011 12:46', '543911')",1.0
180,"('543911',)","('17829.0', '2/14/2011 12:46')",1.0
181,"('2/14/2011 12:46',)","('17829.0', '543911')",1.0
182,"('17829.0', '2/14/2011 12:46')","('543911',)",1.0
183,"('17829.0', '543911')","('2/14/2011 12:46',)",1.0
184,"('2/14/2011 12:46', '543911')","('17829.0',)",1.0
185,"('544071',)","('16317.0', '2/15/2011 14:30')",1.0
186,"('2/15/2011 14:30',)","('16317.0', '544071')",1.0
187,"('16317.0', '2/15/2011 14:30')","('544071',)",1.0
188,"('16317.0', '544071')","('2/15/2011 14:30',)",1.0
189,"('2/15/2011 14:30', '544071')","('16317.0',)",1.0
190,"('544191',)","('13089.0', '2/16/2011 16:57')",1.0
191,"('2/16/2011 16:57',)","('13089.0', '544191')",1.0
192,"('13089.0', '2/16/2011 16:57')","('544191',)",1.0
193,"('13089.0', '544191')","('2/16/2011 16:57',)",1.0
194,"('2/16/2011 16:57', '544191')","('13089.0',)",1.0
195,"('545022',)","('12921.0', '2/25/2011 14:24')",1.0
196,"('2/25/2011 14:24',)","('12921.0', '545022')",1.0
197,"('12921.0', '2/25/2011 14:24')","('545022',)",1.0
198,"('12921.0', '545022')","('2/25/2011 14:24',)",1.0
199,"('2/25/2011 14:24', '545022')","('12921.0',)",1.0
200,"('545221',)","('14740.0', '3/1/2011 8:35')",1.0
201,"('3/1/2011 8:35',)","('14740.0', '545221')",1.0
202,"('14740.0', '3/1/2011 8:35')","('545221',)",1.0
203,"('14740.0', '545221')","('3/1/2011 8:35',)",1.0
204,"('3/1/2011 8:35', '545221')","('14740.0',)",1.0
205,"('545289',)","('14732.0', '3/1/2011 11:55')",1.0
206,"('3/1/2011 11:55',)","('14732.0', '545289')",1.0
207,"('14732.0', '3/1/2011 11:55')","('545289',)",1.0
208,"('14732.0', '545289')","('3/1/2011 11:55',)",1.0
209,"('3/1/2011 11:55', '545289')","('14732.0',)",1.0
210,"('16212.0',)","('3/1/2011 12:51', '545304')",0.9375
211,"('545304',)","('16212.0', '3/1/2011 12:51')",1.0
212,"('3/1/2011 12:51',)","('16212.0', '545304')",1.0
213,"('16212.0', '3/1/2011 12:51')","('545304',)",1.0
214,"('16212.0', '545304')","('3/1/2011 12:51',)",1.0
215,"('3/1/2011 12:51', '545304')","('16212.0',)",1.0
216,"('3/7/2011 13:37',)","('15498.0',)",0.9375
217,"('545842',)","('15498.0', '3/7/2011 13:37')",1.0
218,"('15498.0', '3/7/2011 13:37')","('545842',)",1.0
219,"('15498.0', '545842')","('3/7/2011 13:37',)",1.0
220,"('3/7/2011 13:37', '545842')","('15498.0',)",1.0
221,"('546172',)","('14156.0', '3/10/2011 10:32')",1.0
222,"('3/10/2011 10:32',)","('14156.0', '546172')",1.0
223,"('14156.0', '3/10/2011 10:32')","('546172',)",1.0
224,"('14156.0', '546172')","('3/10/2011 10:32',)",1.0
225,"('3/10/2011 10:32', '546172')","('14156.0',)",1.0
226,"('546246',)","('14841.0', '3/10/2011 13:28')",1.0
227,"('3/10/2011 13:28',)","('14841.0', '546246')",1.0
228,"('14841.0', '3/10/2011 13:28')","('546246',)",1.0
229,"('14841.0', '546246')","('3/10/2011 13:28',)",1.0
230,"('3/10/2011 13:28', '546246')","('14841.0',)",1.0
231,"('546367',)","('15513.0', '3/11/2011 11:38')",1.0
232,"('3/11/2011 11:38',)","('15513.0', '546367')",1.0
233,"('15513.0', '3/11/2011 11:38')","('546367',)",1.0
234,"('15513.0', '546367')","('3/11/2011 11:38',)",1.0
235,"('3/11/2011 11:38', '546367')","('15513.0',)",1.0
236,"('546541',)","('14911.0', '3/14/2011 15:11')",1.0
237,"('3/14/2011 15:11',)","('14911.0', '546541')",1.0
238,"('14911.0', '3/14/2011 15:11')","('546541',)",1.0
239,"('14911.0', '546541')","('3/14/2011 15:11',)",1.0
240,"('3/14/2011 15:11', '546541')","('14911.0',)",1.0
241,"('546643',)","('16214.0', '3/15/2011 13:23')",1.0
242,"('3/15/2011 13:23',)","('16214.0', '546643')",1.0
243,"('16214.0', '3/15/2011 13:23')","('546643',)",1.0
244,"('16214.0', '546643')","('3/15/2011 13:23',)",1.0
245,"('3/15/2011 13:23', '546643')","('16214.0',)",1.0
246,"('546760',)","('12597.0', '3/16/2011 14:00')",1.0
247,"('3/16/2011 14:00',)","('12597.0', '546760')",1.0
248,"('12597.0', '3/16/2011 14:00')","('546760',)",1.0
249,"('12597.0', '546760')","('3/16/2011 14:00',)",1.0
250,"('3/16/2011 14:00', '546760')","('12597.0',)",1.0
251,"('546855',)","('18168.0', '3/17/2011 13:58')",1.0
252,"('3/17/2011 13:58',)","('18168.0', '546855')",1.0
253,"('18168.0', '3/17/2011 13:58')","('546855',)",1.0
254,"('18168.0', '546855')","('3/17/2011 13:58',)",1.0
255,"('3/17/2011 13:58', '546855')","('18168.0',)",1.0
256,"('546856',)","('15433.0', '3/17/2011 14:12')",1.0
257,"('3/17/2011 14:12',)","('15433.0', '546856')",1.0
258,"('15433.0', '3/17/2011 14:12')","('546856',)",1.0
259,"('15433.0', '546856')","('3/17/2011 14:12',)",1.0
260,"('3/17/2011 14:12', '546856')","('15433.0',)",1.0
261,"('547066',)","('12921.0', '3/20/2011 13:41')",1.0
262,"('3/20/2011 13:41',)","('12921.0', '547066')",1.0
263,"('12921.0', '3/20/2011 13:41')","('547066',)",1.0
264,"('12921.0', '547066')","('3/20/2011 13:41',)",1.0
265,"('3/20/2011 13:41', '547066')","('12921.0',)",1.0
266,"('547073',)","('17211.0', '3/20/2011 14:23')",1.0
267,"('3/20/2011 14:23',)","('17211.0', '547073')",1.0
268,"('17211.0', '3/20/2011 14:23')","('547073',)",1.0
269,"('17211.0', '547073')","('3/20/2011 14:23',)",1.0
270,"('3/20/2011 14:23', '547073')","('17211.0',)",1.0
271,"('547652',)","('14606.0', '3/24/2011 12:15')",1.0
272,"('3/24/2011 12:15',)","('14606.0', '547652')",1.0
273,"('14606.0', '3/24/2011 12:15')","('547652',)",1.0
274,"('14606.0', '547652')","('3/24/2011 12:15',)",1.0
275,"('3/24/2011 12:15', '547652')","('14606.0',)",1.0
276,"('547666',)","('14235.0', '3/24/2011 13:23')",1.0
277,"('3/24/2011 13:23',)","('14235.0', '547666')",1.0
278,"('14235.0', '3/24/2011 13:23')","('547666',)",1.0
279,"('14235.0', '547666')","('3/24/2011 13:23',)",1.0
280,"('3/24/2011 13:23', '547666')","('14235.0',)",1.0
281,"('547667',)","('16700.0', '3/24/2011 13:25')",1.0
282,"('3/24/2011 13:25',)","('16700.0', '547667')",1.0
283,"('16700.0', '3/24/2011 13:25')","('547667',)",1.0
284,"('16700.0', '547667')","('3/24/2011 13:25',)",1.0
285,"('3/24/2011 13:25', '547667')","('16700.0',)",1.0
286,"('547887',)","('16245.0', '3/28/2011 9:30')",1.0
287,"('3/28/2011 9:30',)","('16245.0', '547887')",1.0
288,"('16245.0', '3/28/2011 9:30')","('547887',)",1.0
289,"('16245.0', '547887')","('3/28/2011 9:30',)",1.0
290,"('3/28/2011 9:30', '547887')","('16245.0',)",1.0
291,"('548258',)","('14146.0', '3/30/2011 11:04')",1.0
292,"('3/30/2011 11:04',)","('14146.0', '548258')",1.0
293,"('14146.0', '3/30/2011 11:04')","('548258',)",1.0
294,"('14146.0', '548258')","('3/30/2011 11:04',)",1.0
295,"('3/30/2011 11:04', '548258')","('14146.0',)",1.0
296,"('4/6/2011 10:07',)","('17783.0',)",0.8571428571428571
297,"('549047',)","('17783.0', '4/6/2011 10:07')",1.0
298,"('17783.0', '4/6/2011 10:07')","('549047',)",1.0
299,"('17783.0', '549047')","('4/6/2011 10:07',)",1.0
300,"('4/6/2011 10:07', '549047')","('17783.0',)",1.0
301,"('549746',)","('15251.0', '4/12/2011 10:38')",1.0
302,"('4/12/2011 10:38',)","('15251.0', '549746')",1.0
303,"('15251.0', '4/12/2011 10:38')","('549746',)",1.0
304,"('15251.0', '549746')","('4/12/2011 10:38',)",1.0
305,"('4/12/2011 10:38', '549746')","('15251.0',)",1.0
306,"('17972.0',)","('4/12/2011 12:16', '549813')",1.0
307,"('549813',)","('17972.0', '4/12/2011 12:16')",1.0
308,"('4/12/2011 12:16',)","('17972.0', '549813')",1.0
309,"('17972.0', '4/12/2011 12:16')","('549813',)",1.0
310,"('17972.0', '549813')","('4/12/2011 12:16',)",1.0
311,"('4/12/2011 12:16', '549813')","('17972.0',)",1.0
312,"('4/13/2011 14:17',)","('16224.0',)",0.7894736842105263
313,"('549966',)","('16224.0', '4/13/2011 14:17')",1.0
314,"('16224.0', '4/13/2011 14:17')","('549966',)",1.0
315,"('16224.0', '549966')","('4/13/2011 14:17',)",1.0
316,"('4/13/2011 14:17', '549966')","('16224.0',)",1.0
317,"('4/17/2011 12:38',)","('12748.0', '550320')",1.0
318,"('12748.0', '4/17/2011 12:38')","('550320',)",1.0
319,"('4/17/2011 12:38', '550320')","('12748.0',)",1.0
320,"('550322',)","('14524.0', '4/17/2011 12:53')",1.0
321,"('4/17/2011 12:53',)","('14524.0', '550322')",1.0
322,"('14524.0', '4/17/2011 12:53')","('550322',)",1.0
323,"('14524.0', '550322')","('4/17/2011 12:53',)",1.0
324,"('4/17/2011 12:53', '550322')","('14524.0',)",1.0
325,"('550519',)","('13141.0', '4/19/2011 9:31')",1.0
326,"('4/19/2011 9:31',)","('13141.0', '550519')",1.0
327,"('13141.0', '4/19/2011 9:31')","('550519',)",1.0
328,"('13141.0', '550519')","('4/19/2011 9:31',)",1.0
329,"('4/19/2011 9:31', '550519')","('13141.0',)",1.0
330,"('550890',)","('14711.0', '4/21/2011 12:00')",1.0
331,"('4/21/2011 12:00',)","('14711.0', '550890')",1.0
332,"('14711.0', '4/21/2011 12:00')","('550890',)",1.0
333,"('14711.0', '550890')","('4/21/2011 12:00',)",1.0
334,"('4/21/2011 12:00', '550890')","('14711.0',)",1.0
335,"('550915',)","('13263.0', '4/21/2011 13:30')",1.0
336,"('4/21/2011 13:30',)","('13263.0', '550915')",1.0
337,"('13263.0', '4/21/2011 13:30')","('550915',)",1.0
338,"('13263.0', '550915')","('4/21/2011 13:30',)",1.0
339,"('4/21/2011 13:30', '550915')","('13263.0',)",1.0
340,"('551192',)","('16188.0', '4/27/2011 10:54')",1.0
341,"('4/27/2011 10:54',)","('16188.0', '551192')",1.0
342,"('16188.0', '4/27/2011 10:54')","('551192',)",1.0
343,"('16188.0', '551192')","('4/27/2011 10:54',)",1.0
344,"('4/27/2011 10:54', '551192')","('16188.0',)",1.0
345,"('551275',)","('13285.0', '4/27/2011 13:03')",1.0
346,"('4/27/2011 13:03',)","('13285.0', '551275')",1.0
347,"('13285.0', '4/27/2011 13:03')","('551275',)",1.0
348,"('13285.0', '551275')","('4/27/2011 13:03',)",1.0
349,"('4/27/2011 13:03', '551275')","('13285.0',)",1.0
350,"('551399',)","('17874.0', '4/28/2011 13:17')",1.0
351,"('4/28/2011 13:17',)","('17874.0', '551399')",1.0
352,"('17874.0', '4/28/2011 13:17')","('551399',)",1.0
353,"('17874.0', '551399')","('4/28/2011 13:17',)",1.0
354,"('4/28/2011 13:17', '551399')","('17874.0',)",1.0
355,"('551518',)","('15708.0', '5/1/2011 11:36')",1.0
356,"('5/1/2011 11:36',)","('15708.0', '551518')",1.0
357,"('15708.0', '5/1/2011 11:36')","('551518',)",1.0
358,"('15708.0', '551518')","('5/1/2011 11:36',)",1.0
359,"('5/1/2011 11:36', '551518')","('15708.0',)",1.0
360,"('551869',)","('16767.0', '5/4/2011 16:36')",1.0
361,"('5/4/2011 16:36',)","('16767.0', '551869')",1.0
362,"('16767.0', '5/4/2011 16:36')","('551869',)",1.0
363,"('16767.0', '551869')","('5/4/2011 16:36',)",1.0
364,"('5/4/2011 16:36', '551869')","('16767.0',)",1.0
365,"('552005',)","('15491.0', '5/5/2011 16:34')",1.0
366,"('5/5/2011 16:34',)","('15491.0', '552005')",1.0
367,"('15491.0', '5/5/2011 16:34')","('552005',)",1.0
368,"('15491.0', '552005')","('5/5/2011 16:34',)",1.0
369,"('5/5/2011 16:34', '552005')","('15491.0',)",1.0
370,"('552364',)","('13004.0', '5/9/2011 12:25')",1.0
371,"('13004.0', '5/9/2011 12:25')","('552364',)",1.0
372,"('13004.0', '552364')","('5/9/2011 12:25',)",1.0
373,"('5/9/2011 12:25', '552364')","('13004.0',)",1.0
374,"('552560',)","('17581.0', '5/10/2011 11:48')",1.0
375,"('5/10/2011 11:48',)","('17581.0', '552560')",1.0
376,"('17581.0', '5/10/2011 11:48')","('552560',)",1.0
377,"('17581.0', '552560')","('5/10/2011 11:48',)",1.0
378,"('5/10/2011 11:48', '552560')","('17581.0',)",1.0
379,"('552631',)","('12684.0', '5/10/2011 12:55')",1.0
380,"('5/10/2011 12:55',)","('12684.0', '552631')",1.0
381,"('12684.0', '5/10/2011 12:55')","('552631',)",1.0
382,"('12684.0', '552631')","('5/10/2011 12:55',)",1.0
383,"('5/10/2011 12:55', '552631')","('12684.0',)",1.0
384,"('552730',)","('16837.0', '5/11/2011 10:42')",1.0
385,"('5/11/2011 10:42',)","('16837.0', '552730')",1.0
386,"('16837.0', '5/11/2011 10:42')","('552730',)",1.0
387,"('16837.0', '552730')","('5/11/2011 10:42',)",1.0
388,"('5/11/2011 10:42', '552730')","('16837.0',)",1.0
389,"('552817',)","('13136.0', '5/11/2011 12:47')",1.0
390,"('13136.0', '5/11/2011 12:47')","('552817',)",1.0
391,"('13136.0', '552817')","('5/11/2011 12:47',)",1.0
392,"('5/11/2011 12:47', '552817')","('13136.0',)",1.0
393,"('553054',)","('17886.0', '5/13/2011 10:22')",1.0
394,"('5/13/2011 10:22',)","('17886.0', '553054')",1.0
395,"('17886.0', '5/13/2011 10:22')","('553054',)",1.0
396,"('17886.0', '553054')","('5/13/2011 10:22',)",1.0
397,"('5/13/2011 10:22', '553054')","('17886.0',)",1.0
398,"('553228',)","('16496.0', '5/16/2011 10:48')",1.0
399,"('5/16/2011 10:48',)","('16496.0', '553228')",1.0
400,"('16496.0', '5/16/2011 10:48')","('553228',)",1.0
401,"('16496.0', '553228')","('5/16/2011 10:48',)",1.0
402,"('5/16/2011 10:48', '553228')","('16496.0',)",1.0
403,"('14489.0',)","('5/16/2011 14:51', '553374')",1.0
404,"('553374',)","('14489.0', '5/16/2011 14:51')",1.0
405,"('5/16/2011 14:51',)","('14489.0', '553374')",1.0
406,"('14489.0', '5/16/2011 14:51')","('553374',)",1.0
407,"('14489.0', '553374')","('5/16/2011 14:51',)",1.0
408,"('5/16/2011 14:51', '553374')","('14489.0',)",1.0
409,"('5/17/2011 16:23',)","('17702.0',)",0.967741935483871
410,"('553552',)","('17702.0', '5/17/2011 16:23')",1.0
411,"('17702.0', '5/17/2011 16:23')","('553552',)",1.0
412,"('17702.0', '553552')","('5/17/2011 16:23',)",1.0
413,"('5/17/2011 16:23', '553552')","('17702.0',)",1.0
414,"('553707',)","('16843.0', '5/18/2011 15:26')",1.0
415,"('5/18/2011 15:26',)","('16843.0', '553707')",1.0
416,"('16843.0', '5/18/2011 15:26')","('553707',)",1.0
417,"('16843.0', '553707')","('5/18/2011 15:26',)",1.0
418,"('5/18/2011 15:26', '553707')","('16843.0',)",1.0
419,"('553828',)","('17865.0', '5/19/2011 11:24')",1.0
420,"('5/19/2011 11:24',)","('17865.0', '553828')",1.0
421,"('17865.0', '5/19/2011 11:24')","('553828',)",1.0
422,"('17865.0', '553828')","('5/19/2011 11:24',)",1.0
423,"('5/19/2011 11:24', '553828')","('17865.0',)",1.0
424,"('553869',)","('15394.0', '5/19/2011 14:27')",1.0
425,"('5/19/2011 14:27',)","('15394.0', '553869')",1.0
426,"('15394.0', '5/19/2011 14:27')","('553869',)",1.0
427,"('15394.0', '553869')","('5/19/2011 14:27',)",1.0
428,"('5/19/2011 14:27', '553869')","('15394.0',)",1.0
429,"('553901',)","('14911.0', '5/19/2011 17:48')",1.0
430,"('5/19/2011 17:48',)","('14911.0', '553901')",1.0
431,"('14911.0', '5/19/2011 17:48')","('553901',)",1.0
432,"('14911.0', '553901')","('5/19/2011 17:48',)",1.0
